city,code,airline
AbuDhabiUnitedArabEmirates,AUH,EtihadAirways
AccraGhana,ACC,Delta
AmmanJordan,AMM,Alia-(The)RoyalJordanian
AmsterdamNetherlands,AMS,KlmDelta
ArubaAruba,AUA,DeltaJetBlue
BakuAzerbaijan,GYD,AzerbaijanAirlinesCJSC
Barbados/BridgetownBarbados,BGI,JetBlue
BarcelonaSpain,BCN,DeltaAmerican
BeijingChina,PEK,AirChina
BelgradeSerbia,BEG,AirSerbia
BerlinGermany,TXL,Lufthansa
BogotaColombia,BOG,OmniAirInternationalLLCAeroviasNaclDeColombia
BrusselsBelgium,BRU,BrusselsAirlinesN.V.Delta
CairoEgypt,CAI,Egyptair
CalgaryCanada,YYC,Westjet
CancunMexico,CUN,ABCAerolineasSAdeCVdbaInterjetDeltaJetBlueAmerican
CartagenaColombia,CTG,AeroviasNaclDeColombiaJetBlue
CasablancaMorocco,CMN,RoyalAirMaroc
ChengduChina,CTU,HainanAirlinesCompanyLimited
ChongqingChina,CKG,HainanAirlinesCompanyLimited
CopenhagenDenmark,CPH,NorwegianAirShuttleASA
DakarThiesSenegal,DSS,Delta
DelhiIndia,DEL,AirIndia
DohaQatar,DOH,QatarAirways
DubaiUnitedArabEmirates,DXB,Emirates
DublinIreland,DUB,AerLingusDelta
EzeizaArgentina,EZE,AerolineasArgentinasAmerican
FortdeFranceMartinique,FDF,NorwegianAirInternational
FrankfurtGermany,FRA,SingaporeAirlinesLufthansaDelta
FuzhouChina,FOC,XiamenAirlinesCo.
GenevaSwitzerland,GVA,Swiss
GeorgetownGuyana,GEO,CaribbeanAirlinesFlyJamaicaAirwaysLimited
GrandCaymanCaymanIslands,GCM,CaymanAirwaysLimitedJetBlue
GrenadaGrenada,GND,JetBlueDelta
GuadalajaraMexico,GDL,Volaris
GuangzhouChina,CAN,ChinaSouthern
GuayaquilEcuador,GYE,LAN
HamiltonBermuda,BDA,DeltaJetBlueAmerican
HavanaCuba,HAV,DeltaJetBlue
HelsinkiFinland,HEL,FinnairOy
HongKongHongKong,HKG,CathayPacific
IstanbulTurkey,IST,TurkHavaYollariA.O.
JeddahSaudiArabia,JED,SaudiArabianAirlines
JohannesburgSouthAfrica,JNB,SouthAfricanAirways
Keflavik/ReykjavikIceland,KEF,IcelandairDelta
KievUkraine,KBP,UkraineInternationalAirlines
KingstonJamaica,KIN,CaribbeanAirlinesFlyJamaicaAirwaysLimitedNationalAirCargoGroupd/baNationalAirlinesJetBlue
KuwaitKuwait,KWI,KuwaitAirways
LaRomanaDominicanRepublic,LRM,JetBlue
LiberiaCostaRica,LIR,JetBlue
LimaPeru,LIM,LAN
LisbonPortugal,LIS,TAPPortugal
LondonUnitedKingdom,LGW,NorwegianAirShuttleASABritishAirways
LondonUnitedKingdom,LHR,VirginAtlanticBritishAirwaysDeltaAmerican
MadridSpain,MAD,IberiaAirEuropaAmericanDelta
ManchesterUnitedKingdom,MAN,VirginAtlanticThomasCookAirlinesUk
MedellinColombia,MDE,AeroviasNaclDeColombia
MexicoCityMexico,MEX,AeromexicoVolarisABCAerolineasSAdeCVdbaInterjetDelta
MilanItaly,MXP,AlitaliaEmiratesAmericanDelta
MontegoBayJamaica,MBJ,CaribbeanAirlinesDeltaJetBlue
MonterreyMexico,MTY,Aerolitoral
MontrealCanada,YUL,EnvoyAirEndeavorAir
MoscowRussia,SVO,Aeroflot
MunichGermany,MUC,Lufthansa
NassauTheBahamas,NAS,JetBlueDelta
OsloNorway,OSL,NorwegianAirShuttleASA
PanamaCityPanama,PTY,Copa
ParisFrance,CDG,DeltaCompagnieNatlAirFranceXLAirwaysFranceNorwegianAirShuttleASAAmerican
ParisFrance,ORY,CompagnieNatlAirFranceElysair/Lâ€™Avion
PhilipsburgSintMaarten,SXM,JetBlue
PointeAPitreGuadeloupe,PTP,NorwegianAirInternational
PortofSpainTrinidadandTobago,POS,CaribbeanAirlinesJetBlue
Port-au-PrinceHaiti,PAP,AmericanJetBlue
ProvidencialesTurksandCaicosIslands,PLS,JetBlueDelta
PuertoPlataDominicanRepublic,POP,MiamiAirInternationalJetBlue
PuntaCanaDominicanRepublic,PUJ,JetBlueDelta
QuitoEcuador,UIO,TameLineaAereadelEcuadorTmeEP
RigaLatvia,RIX,UzbekistanAirways
RiodeJaneiroBrazil,GIG,DeltaAmerican
RiyadhSaudiArabia,RUH,SaudiArabianAirlines
RomeItaly,FCO,AlitaliaDelta
SanJosedelCaboMexico,SJD,Delta
SanSalvadorElSalvador,SAL,TACALacsa
SantiagoChile,SCL,LAN
SantiagoDominicanRepublic,STI,AmericanDeltaJetBlue
SantoDomingoDominicanRepublic,SDQ,AmericanDeltaJetBlue
SaoPauloBrazil,GRU,TransportesAerosMeridionaOceanairLinhasAereasSAAmericanDelta
SeoulSouthKorea,ICN,KoreanAirAsiana
ShanghaiChina,PVG,ChinaEastern
St.JohnsAntiguaandBarbuda,ANU,JetBlueAmerican
St.KittsSaintKittsandNevis,SKB,DeltaAmerican
St.LuciaSaintLucia,UVF,JetBlue
StockholmSweden,ARN,NorwegianAirShuttleASA
TaipeiTaiwan,TPE,ChinaAirlinesEva
TelAvivIsrael,TLV,ElAlIsraelAirlinesDelta
TobagoTrinidadandTobago,TAB,CaribbeanAirlines
TokyoJapan,HND,JapanAirLines(JAL)CathayPacificAllNipponAirways(ANA)
TokyoJapan,NRT,JapanAirLines(JAL)AllNipponAirways(ANA)
TorontoCanada,YYZ,DeltaGoJetAirlinesLLC/UnitedExpressEnvoyAirEndeavorAir
VancouverCanada,YVR,PhilippineAirlinesCathayPacific
ViennaAustria,VIE,AustrianAirlines
WarsawPoland,WAW,LOTPolishAirlines
WillemstadCuracao,CUR,JetBlue
ZurichSwitzerland,ZRH,SwissAmericanDelta
